rpt_title,menu_id,standard,select_scr,query,form_name,summaryflg,workareas,globl_vars,messagelin,comment,entered_by,lupdate
"Archived Liabilities Listing","None",T,"","SELECT DISTINCT ldgrtran.TRANSACTNO, ;||				ldgrtran.TRANS_DATE, ;||	 			ldgrtran.ACCOUNT_NO, ;||	 			ldgrtran.ACCT_TYPE, ;||	 			ldgrtran.COMMENT, ;||	 			ldgrtran.AMOUNT ;|| FROM ldgrtran, acctsarc ;|| WHERE ldgrtran.ACCOUNT_NO <> 0 ;||   AND acctsarc.","ACCOUNTS.FRX",F,4,"","","Lists the selected accounts with an account type of "L".  The report shows the detailed liability transactions and the balance for each account.","***",9/10/1997
"Archived P.O.s and Payments","None",T,"","SELECT * ;||  FROM orders, ordritem, ordersarc ;||  WHERE order_type = "P" ;||    AND order_no != 0 ;||    AND ordritem.order_key = orders.order_key ;||    AND orders.order_key = ordersarc.order_key ;||  INTO CURSOR pos","PO.FRX",F,5,"","","This report uses the RECEIPTARC cursor created in the CORDRARC routine to select the receipts and invoices that are about to be archived.","***",9/10/1997
"Archived Receipts & Invoices","None",T,"","SELECT ordercpt.*, ;||	receipt.recpt_date, ;||	receipt.amount, ;||	orders.order_no, ;||	orders.invoice_no, ;||	orders.order_date ;||  FROM ordercpt, receiptarc, receipt, orders ;||  WHERE ordercpt.receipt_no = receiptarc.receipt_no ;||    AND receipt.rec","RECPTARC.FRX",F,5,"","","This report uses the RECEIPTARC cursor created in the CORDRARC routine to select the receipts and invoices that are about to be archived.","***",9/10/1997
"Archived Titles Listing","None",T,"","SELECT title.*, ;||	LEFT(title.title, 72) AS sort_field ;|| FROM title, titlearc ;|| WHERE UPPER(title.title_id) == UPPER(titlearc.title_id) ;|| ORDER BY sort_field, title.title_id ;|| INTO CURSOR titlelst","TITLES.FRX",F,3,"","","Selection is performed within the TITLEARC.PRG procedure.","***",9/10/1997
"Author Contacts","Marketing Reports",T,"CNTCTSEL.SPR","SELECT ;||	contact_no, ;||	first_name, ;||	last_name, ;||	company, ;||	PADR(MLINE(po_addr, 1), 35) AS po_addr1, ;||	PADR(MLINE(po_addr, 2), 35) AS po_addr2, ;||	city, ;||	state_abbr, ;||	zip_code, ;||	country, ;||	phone, ;||	phone2, ;||	email, ;||	web_ur","MAILLIST.FRX",F,3,"","Generates a list of selected contacts sorted by company and contact name.","Generates the mailing list in report form.  Contacts are listed alphabetically by company then last name.","***",5/24/2000
"Author Inventory Report","Report Payables",T,"TITLESEL.SPR","SELECT DISTINCT title.*, ;||	ryltyspc.author_no, ;||	contact.last_name, ;||	contact.first_name, ;||	contact.company ;||  FROM title, ryltyspc, contact ;||  WHERE ryltyspc.title_id = title.title_id ;||	AND author_no != 0 ;||	AND contact.contact_no = rylty","RYLTYINV.FRX",F,4,"inv_array","Generates an inventory and transaction summary for time selected.","Works by selecting consignment titles.  Inventory statistics are returned in the array INV_ARRAY(2,6) by a call to function INVENTORY.","***",9/10/1997
"Author Royalty Summary","Report Payables",T,"AUTHORSE.SPR","	SELECT ;||		  	contact.last_name, ;||			contact.first_name, ;||			contact.company, ;||			ryltyspc.author_no, ;||			title.title_id, ;||			title.title, ;||			title.ret_price, ;||			ryltyspc.spec_no, ;||			ryltyspc.threshold, ;||			ryltyspc.discount, ;||		","ROYALTY.FRX",T,4,"royalty","Generates a Royalty Statement summarized by title and selling price.","Changes were made on 3/9/2009 to address a problem with the Sales Quantity reported.","RWL",8/16/2022
"Author Royalty Summary 2","Report Payables",T,"AUTHORSE.SPR","	SELECT ;||		  	contact.last_name, ;||			contact.first_name, ;||			contact.company, ;||			ryltyspc.author_no, ;||			title.title_id, ;||			title.title, ;||			title.ret_price, ;||			ryltyspc.spec_no, ;||			ryltyspc.threshold, ;||			ryltyspc.discount, ;||		","ROYALTY.FRX",T,4,"royalty","Same as "Author Royalty Summary", but includes accounts where no royalty is due.","This report shows all authors and titles--not just where royalties are due.||It turns out this report doesn't capture zero balance accounts either.  The WHERE clause in the query eliminates the very records we seek to retain in order to produce a report","***",9/28/2001
"Author Sales Summary","Report Payables",T,"TITLESEL.SPR","SELECT DISTINCT title.*, ;||	ryltyspc.author_no, ;||	contact.last_name, ;||	contact.first_name, ;||	contact.company, ;||	accountbal(author_no, "L", m.end_date) AS accountbal ;||  FROM title, ryltyspc, contact ;||  WHERE ryltyspc.title_id = title.title_id","RYLTYSUM.FRX",F,4,"","Generates a list of all authors and their account balances (i.e. Royalties owed.)","Pulls together a list of authors and their account balances.  Since the selection screen is based on titles, the authors are joined with the titles selected.","***",9/10/1997
"Automated Payment Checks","Auto Payment Reports",T,"","SELECT * ;||  FROM ldgrtran JOIN contact ON ldgrtran.account_no = contact.contact_no ;||  WHERE trans_date = m.trans_date ;||    AND transevent = "PAYMENT" ;||    AND trans_type = m.trans_type ;||    AND ldgrtran.account_no IN (SELECT account_no FROM aut","CHECK.FRX",F,0,"","Reports the automatic payment amounts for the date range selected.","This report depends on variables set in the Autopay form.","***",10/7/2008
"Automated Payments Report","Auto Payment Reports",T,"","SELECT * ;||  FROM ldgrtran JOIN contact ON ldgrtran.account_no = contact.contact_no ;||  WHERE trans_date = m.trans_date ;||    AND transevent = "PAYMENT" ;||    AND trans_type = m.trans_type ;||    AND ldgrtran.account_no IN (SELECT account_no FROM aut","AUTOPAY.FRX",F,0,"","Reports the automatic payment amounts for the date range selected.","","***",9/10/1997
"Available Inventory History","Inventory Reports",T,"TITLESEL.SPR","SELECT title.title_id, ;||	title.title, ;||	title.isbn, ;||	title.supplierno, ;||  	inv_tran.transactno, ;||  	inv_tran.trans_date, ;||  	inv_tran.item_no, ;||  	inv_tran.condition, ;||  	inv_tran.inv_state, ;||	inv_tran.quantity, ;||  	0000000 + IIF(EMP","INVHISTORY.FRX",F,4,"","Reports the inventory history of selected titles that are in an "available" inventory state.","","***",11/17/2004
"Available Inventory Status","Inventory Reports",T,"TITLESEL.SPR","SELECT title.title_id, ;||	title.title, ;||	title.isbn, ;||	title.supplierno, ;||	title.ret_price, ;||	title.OutOfPrint, ;||	0000000.00 + get_titlcost(title.title_id, title.consignmnt, title.ret_price) AS Cost, ;||  	inv_tran.transactno, ;||  	inv_tran.t","INVSTATUS.FRX",F,4,"","Reports the count of selected titles that are in an "available" inventory state.","","***",11/17/2004
"Available Inventory Status by Shelf ID","Inventory Reports",T,"TITLESEL.SPR","SELECT title.title_id, ;||	title.title, ;||	title.isbn, ;||	title.shelf_id, ;||	title.supplierno, ;||	title.ret_price, ;||	title.OutOfPrint, ;||	0000000.00 + get_titlcost(title.title_id, title.consignmnt, title.ret_price) AS Cost, ;||  	inv_tran.transact","INVSTATUSBYSHELF.FRX",F,4,"","Reports the count of selected titles that are in an "available" inventory state sorted by Shelf ID.","","***",8/10/2007
"Backorder Customers","Sales Reports",T,"TITLESEL.SPR","SELECT 	UPPER(contact.company) AS sort1, ;||	UPPER(contact.last_name) AS sort2, ;||	UPPER(contact.first_name) AS sort3, ;||	title.title_id AS title_id, ;||	ordritem.order_date AS order_date, ;||	ordritem.title, ;||	ordritem.condition, ;||	quantity AS qty","BKORDRCU.FRX",T,5,"","Lists the customers waiting for backordered titles.","","***",9/10/1997
"Backordered Titles","Sales Reports",T,"TITLESEL.SPR","SELECT ;||	title.title_id, ;||	title.title, ;||	title.ret_price, ;||	orders.order_no, ;||	orders.invoice_no, ;||	orders.order_type, ;||	orders.order_date, ;||	orders.discount AS odiscount, ;||	orders.terms, ;||	orders.ship_date, ;||	ordritem.quantity AS","SALESUM3.FRX",T,5,"","Lists the titles and order quantities that have been backordered.","","***",1/9/2007
"Balance Sheet","Report Receivables",T,"DATE_SEL.SPR","SELECT PADR("RECEIVABLES", 12) AS account,  ;||	1 AS SortBy, ;||	acct_type, ;||	SUM(amount) AS amount ;||  FROM ldgrtran ;||  WHERE acct_type = "A" ;||  	AND account_no IN (SELECT contact_no FROM contact) ;||  	AND account_no > 0 ;||	AND trans_date <= m.","BALANCESHEET2.FRX",F,0,"","Summarizes general ledger to approximate a balance sheet.","This report requires considerable explanation.  Let's start with the definition of a balance sheet.  The balance sheet is intended to give you an idea of the net worth of your business.  PubAssist doesn't collect all the information that is typically inc","***",1/16/2009
"Batched Credit Card Worksheet","None",T,"","SELECT *;|| FROM RECEIPT;|| WHERE NOT EMPTY(RECEIPT.CRCRD_ACCT) ;||   AND EMPTY(RECEIPT.CRCRD_AUTH) ;|| ORDER BY RECEIPT.RECPT_TYPE;|| INTO CURSOR CREDTCRD||","BO_CRCRD.FRX",F,5,"","","Generates a list of invoices with back ordered items  which have UNAUTHORIZED credit card receipts associated with them.","***",9/10/1997
"Best Customer Labels by Zip Code","Marketing Reports",T,"BESTCUSTOMERS.SPR","SELECT DISTINCT ;||	" " AS special, ;||	first_name, ;||	last_name, ;||	company, ;||	PADR(MLINE(po_addr, 1), 35) AS po_addr1, ;||	PADR(MLINE(po_addr, 2), 35) AS po_addr2, ;||	city, ;||	state_abbr, ;||	zip_code, ;||	country, ;||	PADR(addr_str(), 210) AS ad","LASERX3.LBX",F,0,"","Lists your best customers by total dollars received in zip code order .","Selection screen leaves the best customers in a table BESTCUSTOMERS.DBF.","***",7/3/2001
"Best Customers","Marketing Reports",T,"BESTCUSTOMERS.SPR","SELECT customerno, ;||	company, ;||	first_name, ;||	last_name, ;||	SUM(IIF(order_type = "C", total, -total)) AS totalsales, ;||	MAX(order_date) AS as_of_date ;||  FROM orders ;||    JOIN contact ON contact.contact_no = orders.customerno ;||  WHERE order_","CUSTSALE.FRX",F,0,"","Lists your best customers in descending order by total order dollars.","","RWL",2/25/2016
"Best Customers Export","Marketing Reports",T,"BESTCUSTOMERS.SPR","SELECT DISTINCT ;||	first_name, ;||	last_name, ;||	company, ;||	PADR(MLINE(po_addr, 1), 35) AS po_addr1, ;||	PADR(MLINE(po_addr, 2), 35) AS po_addr2, ;||	city, ;||	state_abbr, ;||	zip_code, ;||	email ;||  FROM contact ;||  WHERE contact_no > 0 ;||	AND NO","EXP_MAIL.FRX",F,0,"","Selects your best customers by total dollars received for export purposes.","Selection screen leaves the best customers in a table BESTCUSTOMERS.DBF.","***",5/20/2004
"Best Sales by Customer Code","Marketing Reports",T,"CODESEL.SPR","SELECT ;||	mrktcode.code, ;||	code.descript, ;||	SUM(IIF(order_type = "R", -total, total)) AS total ;||  FROM mrktcode JOIN orders ON orders.shptocntct = mrktcode.contact_no ;||		AND mrktcode.order_key = 0 ;||  	LEFT JOIN code ON code.code = mrktcode.cod","CODESALE.FRX",F,5,"","Reports sales by customer code(s) selected.","Sales amounts may not add up to actual total sales.  Invoices that have been assigned multiple marketing codes will be counted for each marketing code assigned.","***",6/24/2010
"Best Sales by Marketing Code","Marketing Reports",T,"CODESEL.SPR","SELECT ;||	mrktcode.code, ;||	code.descript, ;||	SUM(IIF(order_type = "R", -total, total)) AS total ;||  FROM mrktcode JOIN orders ON orders.shptocntct = mrktcode.contact_no ;||		AND orders.order_key = mrktcode.order_key ;||  	LEFT JOIN code ON code.code","CODESALE.FRX",F,5,"","Reports sales by marketing code(s) selected.","Sales amounts may not add up to actual total sales.  Invoices from customers that have been assigned multiple customer codes will be counted for each customer code assigned.","***",6/24/2010
"Best Sales by Title","Sales Reports",T,"TITLESEL.SPR","SELECT ;||        title_id, ;||        title, ;||        ISBN, ;||        SUM(order_qty) AS order_qty, ;||        SUM(order_amt) AS order_amt, ;||        SUM(paid_qty) AS paid_qty, ;||        SUM(paid_amt) AS paid_amt ;||  FROM <<Report Title: Title Sale","SALESUMMARY.FRX",F,5,"","Reports sales for selected titles in descending sales amounts.  Your best selling titles will appear at the top of this report.","See comments for "Receipts by Title" report.","***",12/28/2009
"Best Sales by Title Chart","Sales Reports",T,"TITLESEL.SPR","SELECT  TOP 6 ;||        title_id, ;||        title, ;||        ISBN, ;||        SUM(order_qty) AS order_qty, ;||        SUM(order_amt) AS order_amt, ;||        SUM(paid_qty) AS paid_qty, ;||        SUM(paid_amt) AS paid_amt ;||  FROM <<Report Title: Tit","SALESUMMARY.FRX",F,5,"","Used by the Best Sales by Title performance chart.  Reports the top six title sales (based on the sales amount) in descending order.","See comments for "Receipts by Title" report.","***",12/29/2009
"Billing Statement","Report Receivables",T,"RECVABLS.SPR","SELECT ;||	contact.company, ;||	contact.last_name, ;||	contact.first_name, ;||	ldgrtran.transactno, ;||	ldgrtran.receipt_no, ;||	ldgrtran.account_no, ;||	ldgrtran.trans_date, ;||	ldgrtran.transevent, ;||	ldgrtran.trans_type, ;||	PADR(get_cust_po(order_ke","BILLING.FRX",F,5,"balance, balance30, balance60, balance90, balance120","Generates a statement for customer accounts with an outstanding balance.","","***",9/30/1997
"Cancel Debt Report","Report Receivables",T,"DATE_SEL.SPR","SELECT receipt.*, orders.order_no, orders.invoice_no|| FROM RECEIPT, orders;|| WHERE UPPER(RECEIPT.RECPT_TYPE) = UPPER("CANCEL DEBT");|| 	AND orders.order_key = receipt.order_key;|| 	AND receipt.recpt_date >= m.start_date ;|| 	AND receipt.recpt_date <= m","RECEIPT.FRX",F,3,"","Reports a list of Cancel Debt receipts for the date range selected.","","***",9/10/1997
"Cancelled Items","Sales Reports",T,"TITLESEL.SPR","SELECT UPPER(contact.company) AS sort1, ;||	UPPER(contact.last_name) AS sort2, ;||	UPPER(contact.first_name) AS sort3, ;||	title.title_id AS title_id, ;||	ordritem.order_date AS order_date, ;||	ordritem.title, ;||	ordritem.condition, ;||	quantity AS qtyo","BKORDRCU.FRX",T,5,"","Lists items that have been cancelled organized by customer.","","***",12/30/2009
"Checks & Cash Report","Report Receivables",T,"DATE_SEL.SPR","SELECT * ;|| FROM receipt ;|| WHERE UPPER(recpt_type) IN ("CHECK", "CASH", "MONEY ORDER") ;||   AND receipt.recpt_date >= m.start_date ;||   AND receipt.recpt_date <= m.end_date ;||   <<select_str>>;|| ORDER BY recpt_type, recpt_date ;|| INTO CURSOR chks","RECEIPT.FRX",F,3,"","Lists the checks and cash receipts for the date range selected.","","***",9/10/1997
"Codes List","Marketing Reports",T,"DATE_SEL.SPR","SELECT * ;||  FROM code ;||  WHERE lupdate >= m.start_date ;||     AND lupdate <= m.end_date ;||  ORDER BY code ;||  INTO CURSOR codelist","CODELIST.FRX",F,0,"","","","***",1/10/2000
"Combined Royalty and Commissions","Report Payables",T,"PAYABLES.SPR","	SELECT ;||		  	UPPER(contact.last_name) AS SORT1, ;||			UPPER(contact.first_name) AS SORT2, ;||			UPPER(contact.company) AS SORT3, ;||			ryltyspc.author_no, ;||			title.title_id, ;||			PADR(title.title, 70) AS title, ;||			title.ret_price, ;||			ryltysp","RYLTYCOM.FRX",T,4,"royalty","Generates a Royalty Statement summarized by title and selling price.","","***",5/2/2003
"Commission Statement","Report Payables",T,"PAYABLES.SPR","SELECT ldgrtran.*, ;||	PADR(get_cust_po(order_key), 12) AS cust_po_no, ;||	PADR(getinvoice(order_key), 13) AS invoicestr, ;|| 	PADR(getrcptdet(receipt_no),40) AS rcptdetail, ;||	get_rate(trans_type, spec_no) AS rate, ;||	contact.company, ;||	contact.last","RSTATMNT.FRX",F,4,"","Generates a statement for all or selected sales representatives.","","***",9/10/1997
"Commissions by Customer","Report Payables",T,"PAYABLES.SPR","SELECT ;||	ldgrtran.account_no, ;||	ldgrtran.acct_type, ;||	ldgrtran.trans_date, ;||	ldgrtran.amount, ;||	orders.subtotal AS sale_amount, ;||	orders.customerno, ;||	get_rate(trans_type, spec_no) AS rate, ;||	contact.company, ;||	contact.last_name, ;||	co","CUSTCOMM.FRX",T,4,"","Generates a summary statement for sales representatives by customer.","","***",1/13/1998
"Commissions by Customer Detail","Report Payables",T,"PAYABLES.SPR","SELECT ;||	upper(sr.company) AS sort1, ;||	upper(sr.last_name) AS sort2, ;||	upper(sr.first_name) AS sort3, ;||	upper(cust.company) AS sort4, ;||	upper(cust.last_name) AS sort5, ;||	upper(cust.first_name) AS sort6, ;||	ldgrtran.trans_date, ;||	ldgrtran.a","COMMISSIONDETAIL.FRX",F,4,"","Generates a detailed statement for sales representatives broken out by customer.","This report is suitable for export.||","***",10/1/2009
"Committed Inventory History","Inventory Reports",T,"TITLESEL.SPR","SELECT title.title_id, ;||	title.title, ;||	title.isbn, ;||	title.supplierno, ;||  	inv_tran.transactno, ;||  	inv_tran.trans_date, ;||  	inv_tran.item_no, ;||  	inv_tran.condition, ;||  	inv_tran.inv_state, ;||  	IIF(EMPTY(inv_tran.condition), inv_tran.","INVHISTORY.FRX",F,4,"","Reports the inventory history of selected titles that are in an "committed" inventory state.","","***",11/17/2004
"Committed Inventory Status","Inventory Reports",T,"TITLESEL.SPR","SELECT title.title_id, ;||	title.title, ;||	title.isbn, ;||	title.supplierno, ;||	title.ret_price, ;||	title.OutOfPrint, ;||	0000000.00 + get_titlcost(title.title_id, title.consignmnt, title.ret_price) AS Cost, ;||  	inv_tran.transactno, ;||  	inv_tran.t","INVHISTORY.FRX",F,4,"","Reports the count of selected titles that are in an "committed" inventory state.","","***",11/17/2004
"Comprehensive Payables Report","Report Payables",T,"PAYABLES2.SPR","SELECT contact.*, ldgrtran.*, ;||	PADR(get_cust_po(order_key), 12) AS cust_po_no, ;||	PADR(getinvoice(order_key), 13) AS invoicestr, ;|| 	PADR(getrcptdet(receipt_no),40) AS rcptdetail, ;||	000.00 + get_rate(trans_type, spec_no) AS rate ;|| FROM contact L","PSTATMNT.FRX",F,4,"","Reports all payables accounts, regardless of whether they have current transactions.","","***",12/14/2000
"Consignment Anticipated Income","None",T,"TITLESEL.SPR","SELECT ordritem.title_id, ;||		ordritem.title, ;||  		AVG(ordritem.price *||		  (1-ordritem.discount/100) * (1-orders.discount/100)) AS price, ;||		inv_tran.condition, ;||		inv_tran.location, ;||  		contact.company, ;||  		contact.first_name, ;||  		cont","CONSSTAT.FRX",F,4,"","Reports inventory counts and their anticipated value at consignment locations for the selected titles.","","***",9/10/1997
"Consignment Contract Spec's","Report Payables",T,"TITLESEL.SPR","SELECT * ;|| FROM title, titlcost ;|| WHERE NOT EMPTY(title.title_id) ;|| 	AND title.consignmnt ;|| 	AND titlcost.title_id = title.title_id ;|| 	<<select_str>> ;|| ORDER BY supplierno, titlcost.title_id, titlcost.discount ;|| INTO CURSOR consignspec","CNSGNSPC.FRX",F,5,"","Prints a report of consignment contract specifics for review.","","***",12/14/2000
"Consignment Inventory History","Inventory Reports",T,"TITLESEL.SPR","SELECT title.title_id, ;||	title.title, ;||	title.isbn, ;||	title.supplierno, ;||  	inv_tran.transactno, ;||  	inv_tran.trans_date, ;||  	inv_tran.item_no, ;||  	inv_tran.condition, ;||  	inv_tran.inv_state, ;||  	IIF(EMPTY(inv_tran.condition), inv_tran.","INVHISTORY.FRX",F,4,"","Reports the inventory history of selected titles that are in an "available" inventory state.","","***",11/17/2004
"Consignment Inventory Status","Inventory Reports",T,"TITLESEL.SPR","SELECT title.title_id, ;||	title.title, ;||	title.isbn, ;||	title.supplierno, ;||	title.ret_price, ;||	title.OutOfPrint, ;||	get_titlcost(title.title_id, title.consignmnt, title.ret_price) AS Cost, ;||  	inv_tran.transactno, ;||  	inv_tran.trans_date, ;|","INVSTATUS.FRX",F,4,"","Reports the count of selected titles that are in an "consignment" inventory state.","This report does not use a LEFT JOIN because we don't want to see titles where no consignment inventory transactions are found.","***",2/18/2008
"Consignment Sales","Report Payables",T,"TITLESEL.SPR","	SELECT 	title.supplierno, ;||			contact.company, ;||			contact.last_name, ;||			contact.first_name, ;||			title.title_id, ;||			title.title, ;||			title.ret_price, ;||			titlcost.spec_no, ;||			titlcost.discount AS discount, ;||			titlcost.rate, ;||			t","CONSIGN5.FRX",F,4,"","Generates a statement for all or selected suppliers of consignment titles.","","***",10/19/2000
"Consignment Sales Summary","Report Payables",T,"TITLESEL.SPR","	SELECT 	title.supplierno, ;||			contact.company, ;||			contact.last_name, ;||			contact.first_name, ;||			title.title_id, ;||			title.title, ;||			title.ret_price, ;||			titlcost.spec_no, ;||			titlcost.discount AS discount, ;||			titlcost.rate, ;||			t","CONSIGN1.FRX",T,4,"","Generates a statement for all or selected suppliers of consignment titles.","","***",10/19/2000
"Consignment Sales w/ Acct Sum","Report Payables",T,"TITLESEL.SPR","	SELECT 	title.supplierno, ;||			contact.company, ;||			contact.last_name, ;||			contact.first_name, ;||			title.title_id, ;||			title.title, ;||			title.ret_price, ;||			titlcost.spec_no, ;||			titlcost.discount AS discount, ;||			titlcost.rate, ;||			t","CONSIGNM.FRX",T,4,"","Generates a statement for all or selected suppliers of consignment titles.","","***",9/10/1997
"Contacts By Author & Title","Marketing Reports",T,"AUTHORSE.SPR","SELECT ;||		author.company AS acompany, ;||		author.last_name AS alastname, ;||		author.first_name AS afirstname, ;||		author.contact_no AS author_no, ;||		title.isbn, ;||		cust.first_name, ;||		cust.last_name, ;||		cust.company, ;||		PADR(cust.po_addr,","AUTHTITL.FRX",T,5,"","Reports customers who have ordered selected titles from each author.","","***",8/10/2000
"Contacts By Title Purchased","Marketing Reports",T,"TITLESEL.SPR","SELECT ;||		suppl.company AS scompany, ;||		suppl.last_name AS slast_name, ;||		suppl.first_name AS sfirst_nam, ;||		title.supplierno, ;||		title.isbn, ;||		cust.first_name, ;||		cust.last_name, ;||		cust.company, ;||		PADR(MLINE(cust.po_addr, 1), 35) AS","MAILTITL.FRX",T,5,"","Reports customers who have ordered selected titles.","","***",8/25/2010
